0;Запорізька обласна державна адміністрація (апарат);22504;0
1;Департамент економічного розвитку і торгівлі Запорізької обласної державної адміністрації;2741456;0
2;Департамент житлово-комунального господарства та будівництва Запорізької обласної державної адміністрації;33836176;0
3;Департамент агропромислового розвитку Запорізької обласної державної адміністрації;731270;0
4;Департамент з питань цивільного захисту населення Запорізької обласної державної адміністрації;14373165;0
5;Департамент соціального захисту населення Запорізької обласної державної адміністрації;3193005;0
6;Департамент освіти і науки Запорізької обласної державної адміністрації;2143429;0
7;Департамент охорони здоров'я Запорізької обласної державної адміністрації;2012869;0
8;Департамент культури, туризму, національностей та релігій Запорізької обласної державної адміністрації;2228109;0
9;Управління зовнішніх зносин та зовнішньоекономічної діяльності Запорізької обласної державної адміністрації;25971041;0
10;Управління містобудування та архітектури Запорізької обласної державної адміністрації;35258283;0
11;Департамент захисту довкілля Запорізької обласної державної адміністрації;43847544;0
12;Департамент внутрішньої політики та інформаційної діяльності Запорізької обласної державної адміністрації;34718647;0
13;Відділ внутрішнього аудиту Запорізької обласної державної адміністрації;38732555;0
14;Державний архів Запорізької області;3494617;0
15;Служба у справах дітей Запорізької обласної державної адміністрації;25765784;0
16;Управління молоді, фізичної культури та спорту Запорізької обласної державної адміністрації;38922191;0
17;Департамент фінансів Запорізької обласної державної адміністрації;2313714;0
18;Управління оборонної роботи та взаємодії з правоохоронними органами Запорізької обласної державної адміністрації;45021701;0
19;Управління транспорту та зв’язку Запорізької обласної державної адміністрації (реорганізовується в Департамент інфраструктури та промисловості з 01.11.2023);44638516;0
20;Управління стратегічних галузей виробництва Запорізької обласної державної адміністрації (ліквідується з 01.11.2023);44574751;0
21;Бердянська районна державна адміністрація;2140840;1
22;Відділ фінансів Бердянської районної державної адміністрації;2313803;1
23;Управління соціального захисту населення Бердянської районної державної адміністрації;3193181;1
24;Василівська районна державна адміністрація Запорізької області;2140857;2
25;Відділ фінансів Василівської районної державної адміністрації Запорізької області;2313861;2
26;Управління соціального захисту населення  Василівської районної державної адміністрації Запорізької області;3193117;2
27;Запорізька районна державна адміністрація Запорізької області;20488417;3
28;Відділ фінансів Запорізької районної державної адміністрації Запорізької області;20488432;3
29;Управління соціального захисту населення Запорізької районної державної адміністрації Запорізької області;3193241;3
30;Служба у справах дітей Запорізької районної державної адміністрації Запорізької області;34157121;3
31;Відділ освіти, охорони здоров''я, культури і спорту Запорізької районної державної адміністрації Запорізької області;25218792;3
32;Мелітопольська районна державна адміністрація Запорізької області;2126314;4
33;Управління соціального захисту населення  Мелітопольської районної державної адміністрації Запорізької області;3193057;4
34;Служба у справах дітей  Мелітопольської районної державної адміністрації    Запорізької області;35432646;4
35;Відділ фінансів Мелітопольської районної державної адміністрації Запорізької області;2313648;4
36;Відділ, освіти, охорони здоров''я, культури та спорту  Мелітопольської районної державної адміністрації Запорізької області;2136100;4
37;Пологівська районна державна адміністрація Запорізької області;2126354;5
38;Архівний відділ Пологівської районної державної адміністрації Запорізької області;44251875;5
39;Фінансовий відділ Пологівської районної державної адміністрації Запорізької області;2313708;5
40;Служба у справах дітей Пологівської районної державної адміністрації Запорізької області;25219811;5
41;Управління соціального захисту населення Пологівської районної державної адміністрації Запорізької області;3193123;5
